Brand,Shoe Size,Price Ratio
0,9.5,1.0909090909090908
1,6.5,3.568421052631579
1,9.5,4.4526315789473685
0,8.5,1.7227272727272727
0,11.5,1.3136363636363637
1,9.5,2.8588235294117648
1,8.0,15.784210526315789
1,8.0,1.875
0,9.5,1.2227272727272727
1,6.5,2.723529411764706
0,9.0,1.0909090909090908
0,8.0,1.75
0,12.0,1.6818181818181819
1,13.0,5.526315789473684
0,7.0,2.077272727272727
0,7.5,1.0909090909090908
0,9.0,4.490909090909091
0,10.0,2.4545454545454546
0,5.5,1.2818181818181817
0,8.5,1.1818181818181819
0,10.0,1.7045454545454546
0,12.0,1.2272727272727273
0,8.5,1.1272727272727272
1,13.0,3.8947368421052633
0,11.5,1.7863636363636364
0,7.0,1.309090909090909
1,13.0,2.744
0,9.5,1.1363636363636365
1,7.0,3.7375
0,4.0,1.6181818181818182
0,11.5,1.1818181818181819
0,11.5,1.1818181818181819
0,6.5,3.4272727272727272
1,15.0,6.0
0,7.5,1.2454545454545454
1,10.5,8.552631578947368
0,8.0,1.9090909090909092
0,11.5,3.9136363636363636
1,10.0,1.3529411764705883
0,11.5,1.2272727272727273
1,6.5,2.78125
1,8.5,2.5
0,11.0,1.1818181818181819
0,13.0,1.4545454545454546
0,9.0,1.2227272727272727
0,8.5,1.1272727272727272
1,12.0,3.9368421052631577
1,11.0,9.6875
0,10.5,2.8181818181818183
0,9.0,1.0909090909090908
0,9.5,1.6772727272727272
0,12.0,1.4545454545454546
0,9.5,1.5454545454545454
1,10.5,2.0764705882352943
0,10.0,3.022727272727273
1,9.0,5.257894736842105
1,11.0,4.411764705882353
0,11.5,0.9772727272727273
0,11.0,1.2863636363636364
0,9.0,1.7
0,8.0,1.2727272727272727
0,8.0,1.8227272727272728
0,9.0,1.2545454545454546
1,11.0,2.2058823529411766
0,4.5,1.240909090909091
0,5.5,1.5909090909090908
0,10.0,1.6454545454545455
0,8.0,1.0363636363636364
0,4.5,1.2
0,8.0,1.9136363636363636
0,4.0,1.7045454545454546
0,9.0,1.5545454545454545
0,10.0,1.1409090909090909
0,10.0,1.0681818181818181
0,12.0,1.1227272727272728
0,13.0,1.7954545454545454
0,8.0,6.005
0,9.5,1.6545454545454545
1,9.0,5.54375
1,11.5,4.257894736842105
0,5.0,2.7181818181818183
0,11.5,1.8409090909090908
0,5.5,2.077272727272727
0,8.5,0.9545454545454546
0,5.0,1.2181818181818183
1,9.5,2.408
0,9.0,1.1181818181818182
0,10.5,1.7227272727272727
1,8.0,3.4125
0,10.0,2.8181818181818183
0,8.5,1.1818181818181819
0,10.5,1.7
0,10.0,1.2181818181818183
0,8.5,1.1272727272727272
0,10.0,4.7
0,10.0,1.3181818181818181
0,9.0,2.3181818181818183
1,7.0,2.1588235294117646
0,6.0,1.6363636363636365
1,12.0,3.625
0,11.5,1.9863636363636363
1,11.0,3.55
1,8.0,3.9692307692307693
0,10.0,1.6136363636363635
0,11.0,1.1136363636363635
1,9.5,2.4
1,11.0,3.125
1,9.0,5.753846153846154
0,13.0,1.4090909090909092
